pairID,gold_label,Sentence1,Sentence2,Explanation_1,WorkerId,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3,assigned_to,structured_explanation
4815028934.jpg#3r1n,neutral,An Asian class participating using hand gestures.,a class of students is learning,Participating does not imply learning.,AJQGWGESKQT4Y,An Asian class participating using hand gestures.,a class of students is *learning*,{},5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,¬(participating → learning)
4852920753.jpg#0r3n,neutral,A man with a red hat looking at something in a glass counter and starfish on top in a metal container.,A man is preparing to buy a pet,A man looking at something does not mean is he is  shopping or preparing to buy a pet.,AESDLEAC6W22Z,A man with a red hat looking at something in a glass counter and starfish on top in a metal container.,A man is *preparing* *to* *buy* *a* *pet*,{},"3,4,5,6,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,¬(a man looking at something → he is shopping to buy a pet)
121800200.jpg#0r1n,neutral,Many people are climbing the mountain surrounded by pretty green trees.,The people climbing the mountain are part of a team.,People climbing does not imply they are a team.,AJQGWGESKQT4Y,Many people are climbing the mountain surrounded by pretty green trees.,The people climbing the mountain are part of a *team.*,{},9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,¬(people climbing → they are a team)
2590318805.jpg#1r1n,neutral,"Three men and two women are standing besides a ladder, a wagon, and bales of hay.",they are farming,"Standing beside a ladder, wagon, and bales of hay does not necessarily imply that people are farming.",A70NCPQ8M7APG,"Three men and two women are standing besides a ladder, a wagon, and bales of hay.",*they* *are* *farming*,{},"2000,1,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,"¬(Standing beside a ladder, wagon, and bales of hay → people are farming)"
4796827555.jpg#4r1n,neutral,A band prepares as they stand on a platform.,"A band prepares as they stand on a platform, under bright stage lights.","The band may not be under bright stage lights, they could be dimmed.",A2DHLFPCDUTK2O,A band prepares as they stand on a platform.," A band prepares as they stand on a platform, *under* *bright* *stage* *lights.*",{},"12,11,10,9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
2541483099.jpg#4r1n,neutral,Workers place tiles on walls.,the workers are making a bathroom,Not all workers placing tiles on walls are making a bathroom.,A1RBJVN8KN3VJ6,Workers place tiles on walls.,the workers are making a *bathroom*,{},5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,workers placing tiles on walls ⊉ bathroom
458833944.jpg#3r1n,neutral,Man and woman standing in the desert with a homemade cart.,A married couple standing outside.,Man and woman standing in the desert with a homemade cart does not imply they are married,A18HC62T1SROBJ,Man and woman standing in the desert with a homemade cart.,A *married* couple standing outside.,{},1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,¬(Man and woman standing in the desert with a homemade cart → they are married)
4809240949.jpg#0r1n,neutral,A young lady in a red dress with a guitar is playing and singing in the microphone.,The young girl is entertaining a crowd.,The young lady is not necessarily playing in front of a crowd.,A21R7HNKMSVQYZ,A young lady in a red dress with a guitar is playing and singing in the microphone.,The young girl is entertaining a *crowd.*,{},6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
4725650100.jpg#1r1n,neutral,An older woman shopping for produce at an open market.,an older woman is looking for carrots,An older woman shopping for produce doesn't mean she is looking for carrots.,ASUQO1R45IQUE,An older woman shopping for produce at an open market.,an older woman is looking for *carrots*,{},6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,¬(An older woman shopping for produce →  she is looking for carrots)
103106960.jpg#4r1n,neutral,A young kid playing the goalie in a hockey rink.,A kid blocks a shot from being made.,You can not infer he blocks the shot.,A3TIRLWM8AB3JY,A young kid playing the goalie in a hockey rink.,A kid *blocks* a shot from being made.,{},2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
